REF_DATE,GEO,Client groups,VALUE,STATUS
2002-07,Territories,"Total, all client groups",76.7,NA
2002-07,Territories,Leisure clients,76.1,NA
2002-07,Territories,Business clients,77,NA
2002-07,Yukon,"Total, all client groups",78.9,NA
2002-07,Yukon,Leisure clients,76,NA
2002-07,Yukon,Business clients,81.5,NA
2002-07,Northwest Territories,"Total, all client groups",76.6,NA
2002-07,Northwest Territories,Leisure clients,79.2,NA
2002-07,Northwest Territories,Business clients,75.8,NA
2002-07,Nunavut,"Total, all client groups",72.2,NA
2002-07,Nunavut,Leisure clients,73.1,NA
2002-07,Nunavut,Business clients,72.1,NA
2002-10,Canada,"Total, all client groups",79.8,NA
2002-10,Canada,Leisure clients,80.3,NA
2002-10,Canada,Business clients,77.7,NA
2002-10,Atlantic Region,"Total, all client groups",75.4,NA
2002-10,Atlantic Region,Leisure clients,77.1,NA
2002-10,Atlantic Region,Business clients,73.9,NA
2002-10,Newfoundland and Labrador,"Total, all client groups",71.8,NA
2002-10,Newfoundland and Labrador,Leisure clients,72.6,NA
2002-10,Newfoundland and Labrador,Business clients,71.2,NA
2002-10,Prince Edward Island,"Total, all client groups",71.8,NA
2002-10,Prince Edward Island,Leisure clients,70.5,NA
2002-10,Prince Edward Island,Business clients,73.3,NA
2002-10,Nova Scotia,"Total, all client groups",79.5,NA
2002-10,Nova Scotia,Leisure clients,82,NA
2002-10,Nova Scotia,Business clients,77.5,NA
2002-10,New Brunswick,"Total, all client groups",75.2,NA
2002-10,New Brunswick,Leisure clients,78.4,NA
2002-10,New Brunswick,Business clients,73.3,NA
2002-10,Quebec Region,"Total, all client groups",84.1,NA
2002-10,Quebec Region,Leisure clients,79.6,NA
2002-10,Quebec Region,Business clients,86.3,NA
2002-10,Quebec,"Total, all client groups",84.1,NA
2002-10,Quebec,Leisure clients,79.6,NA
2002-10,Quebec,Business clients,86.3,NA
2002-10,Ontario Region,"Total, all client groups",89.5,NA
2002-10,Ontario Region,Leisure clients,93.5,NA
2002-10,Ontario Region,Business clients,86.6,NA
2002-10,Ontario,"Total, all client groups",89.5,NA
2002-10,Ontario,Leisure clients,93.5,NA
2002-10,Ontario,Business clients,86.6,NA
2002-10,Prairie Region,"Total, all client groups",68.2,NA
