REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1981-09,Canada,Poultry [11113],69,NA,[11113]
1981-09,Canada,Eggs in shell [11611],49.6,NA,[11611]
1981-09,Canada,Unprocessed milk [11612],36.5,NA,[11612]
1981-09,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",43.9,NA,[121]
1981-09,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",43.9,NA,[12111]
1981-09,Canada,Non-metallic minerals [M31],37.1,NA,[M31]
1981-09,Canada,Stone [16211],32.2,NA,[16211]
1981-09,Canada,Logs and bolts [13111],36.2,NA,[13111]
1981-09,Canada,Pulpwood [13112],99.9,NA,[13112]
1981-09,Canada,Natural rubber [282M],52.3,NA,[282M]
1981-09,Canada,Iron ores and concentrates [151],41.7,NA,[151]
1981-09,Canada,Copper ores and concentrates [152],32.9,NA,[152]
1981-09,Canada,Nickel ores and concentrates [153],45.7,NA,[153]
1981-09,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-09,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",30.5,NA,[15511]
1981-09,Canada,Waste and scrap of iron and steel [15611],64.8,NA,[15611]
1981-09,Canada,Waste and scrap of non-ferrous metals [15612],28.5,NA,[15612]
1981-10,Canada,"Total, Raw materials price indexes (RMPI)",44.5,NA,NA
1981-10,Canada,Crude energy products [M51],41,NA,[M51]
1981-10,Canada,Conventional crude oil [14111],42.8,NA,[14111]
1981-10,Canada,Natural gas [142],93,NA,[142]
1981-10,Canada,Hard coal [14411],68.2,NA,[14411]
1981-10,Canada,"Total, excluding crude energy products",45.6,NA,NA
1981-10,Canada,Crop products [M11],51.8,NA,[M11]
1981-10,Canada,Wheat [112],60.9,NA,[112]
1981-10,Canada,Canola (including rapeseed) [113],60.9,NA,[113]
1981-10,Canada,Fresh potatoes [11421],29.8,NA,[11421]
1981-10,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],57,NA,[11422]
1981-10,Canada,Animals and animal products [M21],54.4,NA,[M21]
