REF_DATE,GEO,Client groups,VALUE,STATUS
2001-08,Territories,Leisure clients,85.6,NA
2001-08,Territories,Business clients,80.4,NA
2001-08,Yukon,"Total, all client groups",92.3,NA
2001-08,Yukon,Leisure clients,90.1,NA
2001-08,Yukon,Business clients,94.3,NA
2001-08,Northwest Territories,"Total, all client groups",76,NA
2001-08,Northwest Territories,Leisure clients,79.3,NA
2001-08,Northwest Territories,Business clients,74.9,NA
2001-08,Nunavut,"Total, all client groups",67,NA
2001-08,Nunavut,Leisure clients,66,NA
2001-08,Nunavut,Business clients,67.3,NA
2001-09,Canada,"Total, all client groups",89.8,NA
2001-09,Canada,Leisure clients,91,NA
