REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2013-10,Canada,"Laser printers, businesses and governments [361112421]",101.1,NA
2013-11,Canada,Computer monitors and computer printers [E12],99.6,NA
2013-11,Canada,Computer monitors [3611123],99.1,NA
2013-11,Canada,"Computer monitors, businesses and governments [36111231]",99.4,NA
2013-11,Canada,Computer printers [3611124],99.6,NA
2013-11,Canada,Inkjet printers [36111241],97.8,NA
2013-11,Canada,"Inkjet printers, businesses and governments [361112411]",97.9,NA
2013-11,Canada,Laser printers [36111242],100.7,NA
2013-11,Canada,"Laser printers, businesses and governments [361112421]",100.6,NA
2013-12,Canada,Computer monitors and computer printers [E12],100.7,NA
2013-12,Canada,Computer monitors [3611123],99.2,NA
2013-12,Canada,"Computer monitors, businesses and governments [36111231]",99.6,NA
2013-12,Canada,Computer printers [3611124],101,NA
2013-12,Canada,Inkjet printers [36111241],100.1,NA
2013-12,Canada,"Inkjet printers, businesses and governments [361112411]",100.2,NA
2013-12,Canada,Laser printers [36111242],101.2,NA
2013-12,Canada,"Laser printers, businesses and governments [361112421]",101.1,NA
2014-01,Canada,Computer monitors and computer printers [E12],100.2,NA
2014-01,Canada,Computer monitors [3611123],99,NA
2014-01,Canada,"Computer monitors, businesses and governments [36111231]",99.4,NA
2014-01,Canada,Computer printers [3611124],100.4,NA
2014-01,Canada,Inkjet printers [36111241],99.9,NA
2014-01,Canada,"Inkjet printers, businesses and governments [361112411]",100,NA
2014-01,Canada,Laser printers [36111242],100.2,NA
2014-01,Canada,"Laser printers, businesses and governments [361112421]",100,NA
2014-02,Canada,Computer monitors and computer printers [E12],100,NA
2014-02,Canada,Computer monitors [3611123],98.7,NA
2014-02,Canada,"Computer monitors, businesses and governments [36111231]",99,NA
2014-02,Canada,Computer printers [3611124],100.2,NA
2014-02,Canada,Inkjet printers [36111241],98.7,NA
2014-02,Canada,"Inkjet printers, businesses and governments [361112411]",98.7,NA
2014-02,Canada,Laser printers [36111242],101.1,NA
2014-02,Canada,"Laser printers, businesses and governments [361112421]",100.9,NA
2014-03,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-03,Canada,Computer monitors [3611123],98.6,NA
2014-03,Canada,"Computer monitors, businesses and governments [36111231]",98.9,NA
2014-03,Canada,Computer printers [3611124],100.4,NA
2014-03,Canada,Inkjet printers [36111241],99.6,NA
2014-03,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2014-03,Canada,Laser printers [36111242],100.5,NA
2014-03,Canada,"Laser printers, businesses and governments [361112421]",100.4,NA
2014-04,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-04,Canada,Computer monitors [3611123],98.7,NA
2014-04,Canada,"Computer monitors, businesses and governments [36111231]",99,NA
2014-04,Canada,Computer printers [3611124],100.4,NA
2014-04,Canada,Inkjet printers [36111241],99.6,NA
2014-04,Canada,"Inkjet printers, businesses and governments [361112411]",99.7,NA
2014-04,Canada,Laser printers [36111242],100.5,NA
2014-04,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2014-05,Canada,Computer monitors and computer printers [E12],100,NA
2014-05,Canada,Computer monitors [3611123],97.9,NA
2014-05,Canada,"Computer monitors, businesses and governments [36111231]",98.2,NA
2014-05,Canada,Computer printers [3611124],100.5,NA
2014-05,Canada,Inkjet printers [36111241],100.2,NA
2014-05,Canada,"Inkjet printers, businesses and governments [361112411]",100.3,NA
2014-05,Canada,Laser printers [36111242],100.5,NA
2014-05,Canada,"Laser printers, businesses and governments [361112421]",100.3,NA
2014-06,Canada,Computer monitors and computer printers [E12],100.1,NA
2014-06,Canada,Computer monitors [3611123],98.3,NA
